,title,price,link
0,"acer Aspire Lite 12th Gen Intel
                    Core i5-12450H, Office 2024 + M365 Basic, 16GB RAM/512GB SSD, 39.62cm(15.6"") FHD IPS Display Win11H,
                    Pure Silver, 1.7KG,AL15-52H, Backlit KB, Thin & Light Laptop","51,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2MjM0MDY5NzgzNjUzMzczOjE3NzUwNzIzMjg6c3BfYXRmOjMwMDMyNTkyMDk2MzczMjo6MDo6&url=%2FAcer-i5-12450H-Windows11Home-AL15-52H-Keyboard%2Fdp%2FB0DDL495SX%2Fref%3Dsr_1_1_sspa%3Fcrid%3D18G82KVLYJKIC%26dib%3DeyJ2IjoiMSJ9.G3utn5vOpIuP54jcmOlxChQyg_uVeLFS7kcLD7-4RL5tY1BMv4rz1-qBiKz9QND4VPEDrtd_CLGI8PFhkuPp3c7DUiIqlyCYdjioDpblgVCP8Mt3XlZC9lowWvFT96f6FcPbvB8hZRlgtdSZPVvnv9PDF6sMDe_5wKhb0nQXNUiTCke5Whh-6vQYT9yQi7NKhKIeKQtM9nu1hvuQbA7MYkuuKfMcheEyTglObzeQ0fM.LDjsxGyp-wgoUB7cBUEn17pKLDMU3zUW-Bkp7uJ0680%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1775072328%26sprefix%3Dlapto%252Caps%252C455%26sr%3D8-1-spons%26aref%3DtoB8mIrCZ8%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=toB8mIrCZ8&sp_cr=ZAZ
1,"acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop","42,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2MjM0MDY5NzgzNjUzMzczOjE3NzUwNzIzMjg6c3BfYXRmOjMwMDM1MDU1NTA1MzQzMjo6MDo6&url=%2F5-5625U-Premium-Windows-AL15-41-Display%2Fdp%2FB0DG2GCTD7%2Fref%3Dsr_1_2_sspa%3Fcrid%3D18G82KVLYJKIC%26dib%3DeyJ2IjoiMSJ9.G3utn5vOpIuP54jcmOlxChQyg_uVeLFS7kcLD7-4RL5tY1BMv4rz1-qBiKz9QND4VPEDrtd_CLGI8PFhkuPp3c7DUiIqlyCYdjioDpblgVCP8Mt3XlZC9lowWvFT96f6FcPbvB8hZRlgtdSZPVvnv9PDF6sMDe_5wKhb0nQXNUiTCke5Whh-6vQYT9yQi7NKhKIeKQtM9nu1hvuQbA7MYkuuKfMcheEyTglObzeQ0fM.LDjsxGyp-wgoUB7cBUEn17pKLDMU3zUW-Bkp7uJ0680%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1775072328%26sprefix%3Dlapto%252Caps%252C455%26sr%3D8-2-spons%26aref%3DIBWpU4rfPA%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=IBWpU4rfPA&sp_cr=ZAZ
2,"HP 15, 13th Gen Intel Core i3-1315U, (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD,15.6''/39.6cm, Win11,M365 Basic(1yr),Office24, Silver,1.59kg, fd0572TU, FHD Camera w/Shutter, Backlit Laptop","44,990",https://amazon.in//HP-i3-1315U-Anti-Glare-Micro-Edge-fd0572TU/dp/B0F4R6GXWJ/ref=sr_1_6?crid=18G82KVLYJKIC&dib=eyJ2IjoiMSJ9.G3utn5vOpIuP54jcmOlxChQyg_uVeLFS7kcLD7-4RL5tY1BMv4rz1-qBiKz9QND4VPEDrtd_CLGI8PFhkuPp3c7DUiIqlyCYdjioDpblgVCP8Mt3XlZC9lowWvFT96f6FcPbvB8hZRlgtdSZPVvnv9PDF6sMDe_5wKhb0nQXNUiTCke5Whh-6vQYT9yQi7NKhKIeKQtM9nu1hvuQbA7MYkuuKfMcheEyTglObzeQ0fM.LDjsxGyp-wgoUB7cBUEn17pKLDMU3zUW-Bkp7uJ0680&dib_tag=se&keywords=laptop&qid=1775072328&sprefix=lapto%2Caps%2C455&sr=8-6
3,"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","37,999",https://amazon.in//Lenovo-V15-Lifetime-Validity-Warranty/dp/B0CL7CMTXS/ref=sr_1_7?crid=18G82KVLYJKIC&dib=eyJ2IjoiMSJ9.G3utn5vOpIuP54jcmOlxChQyg_uVeLFS7kcLD7-4RL5tY1BMv4rz1-qBiKz9QND4VPEDrtd_CLGI8PFhkuPp3c7DUiIqlyCYdjioDpblgVCP8Mt3XlZC9lowWvFT96f6FcPbvB8hZRlgtdSZPVvnv9PDF6sMDe_5wKhb0nQXNUiTCke5Whh-6vQYT9yQi7NKhKIeKQtM9nu1hvuQbA7MYkuuKfMcheEyTglObzeQ0fM.LDjsxGyp-wgoUB7cBUEn17pKLDMU3zUW-Bkp7uJ0680&dib_tag=se&keywords=laptop&qid=1775072328&sprefix=lapto%2Caps%2C455&sr=8-7
4,"HP Smartchoice Victus, AMD Ryzen 7 7445HS, 6GB RTX 3050, 16GB DDR5(Upgradeable) 512GB SSD, FHD, 144Hz, 300 nits, 15.6''/39.6cm, Win 11, M365* Office24, Blue, 2.29kg, fb3134AX/3120ax, Gaming Laptop","76,490",https://amazon.in//HP-Smartchoice-Upgradeable-Office24-fb3134AX/dp/B0FDKPXD95/ref=sr_1_8?crid=18G82KVLYJKIC&dib=eyJ2IjoiMSJ9.G3utn5vOpIuP54jcmOlxChQyg_uVeLFS7kcLD7-4RL5tY1BMv4rz1-qBiKz9QND4VPEDrtd_CLGI8PFhkuPp3c7DUiIqlyCYdjioDpblgVCP8Mt3XlZC9lowWvFT96f6FcPbvB8hZRlgtdSZPVvnv9PDF6sMDe_5wKhb0nQXNUiTCke5Whh-6vQYT9yQi7NKhKIeKQtM9nu1hvuQbA7MYkuuKfMcheEyTglObzeQ0fM.LDjsxGyp-wgoUB7cBUEn17pKLDMU3zUW-Bkp7uJ0680&dib_tag=se&keywords=laptop&qid=1775072328&sprefix=lapto%2Caps%2C455&sr=8-8
5,"HP i5 Laptop, Intel 10-Core i5-1335U with Lifetime Microsoft Office, 16GB RAM 512GB SSD, Windows 11, Fast WiFi 6E, Numeric Keypad, Long Battery Life, Ethernet Port, Laptop for Business&Student","61,999",https://amazon.in//HP-i5-1335U-Lifetime-Microsoft-Ethernet/dp/B0G3WWMTZT/ref=sr_1_9?crid=18G82KVLYJKIC&dib=eyJ2IjoiMSJ9.G3utn5vOpIuP54jcmOlxChQyg_uVeLFS7kcLD7-4RL5tY1BMv4rz1-qBiKz9QND4VPEDrtd_CLGI8PFhkuPp3c7DUiIqlyCYdjioDpblgVCP8Mt3XlZC9lowWvFT96f6FcPbvB8hZRlgtdSZPVvnv9PDF6sMDe_5wKhb0nQXNUiTCke5Whh-6vQYT9yQi7NKhKIeKQtM9nu1hvuQbA7MYkuuKfMcheEyTglObzeQ0fM.LDjsxGyp-wgoUB7cBUEn17pKLDMU3zUW-Bkp7uJ0680&dib_tag=se&keywords=laptop&qid=1775072328&sprefix=lapto%2Caps%2C455&sr=8-9
6,"ASUS Vivobook 15, (i5 14th Gen) Intel Core 5 120U,Thin & Light Laptop (16GB RAM/512GB SSD/FHD/15.6""/60Hz/Backlit Keyboard/Windows 11/Office 2021/Cool Silver/1.70 kg) X1504VAP-BQ224WS","57,999",https://amazon.in//ASUS-Vivobook-Backlit-Keyboard-X1504VAP-BQ224WS/dp/B0GCDG95J5/ref=sr_1_10?crid=18G82KVLYJKIC&dib=eyJ2IjoiMSJ9.G3utn5vOpIuP54jcmOlxChQyg_uVeLFS7kcLD7-4RL5tY1BMv4rz1-qBiKz9QND4VPEDrtd_CLGI8PFhkuPp3c7DUiIqlyCYdjioDpblgVCP8Mt3XlZC9lowWvFT96f6FcPbvB8hZRlgtdSZPVvnv9PDF6sMDe_5wKhb0nQXNUiTCke5Whh-6vQYT9yQi7NKhKIeKQtM9nu1hvuQbA7MYkuuKfMcheEyTglObzeQ0fM.LDjsxGyp-wgoUB7cBUEn17pKLDMU3zUW-Bkp7uJ0680&dib_tag=se&keywords=laptop&qid=1775072328&sprefix=lapto%2Caps%2C455&sr=8-10
7,"acer Aspire Lite, AMD Ryzen 3-5300U, 8 GB RAM, 512 GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 KG, AL15-41, Premium Laptop","36,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2MjM0MDY5NzgzNjUzMzczOjE3NzUwNzIzMjg6c3BfbXRmOjMwMDk3MTg0NzIxODczMjo6MDo6&url=%2FAcer-Aspire-Premium-AL15-41-Display%2Fdp%2FB0D37T35JP%2Fref%3Dsr_1_11_sspa%3Fcrid%3D18G82KVLYJKIC%26dib%3DeyJ2IjoiMSJ9.G3utn5vOpIuP54jcmOlxChQyg_uVeLFS7kcLD7-4RL5tY1BMv4rz1-qBiKz9QND4VPEDrtd_CLGI8PFhkuPp3c7DUiIqlyCYdjioDpblgVCP8Mt3XlZC9lowWvFT96f6FcPbvB8hZRlgtdSZPVvnv9PDF6sMDe_5wKhb0nQXNUiTCke5Whh-6vQYT9yQi7NKhKIeKQtM9nu1hvuQbA7MYkuuKfMcheEyTglObzeQ0fM.LDjsxGyp-wgoUB7cBUEn17pKLDMU3zUW-Bkp7uJ0680%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1775072328%26sprefix%3Dlapto%252Caps%252C455%26sr%3D8-11-spons%26aref%3DhGGrugY4j2%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=hGGrugY4j2&sp_cr=ZAZ
8,"Dell 15, Intel Core 3 14th Gen-100U, 16GB DDR4, 512GB SSD, FHD IPS, 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, Carbon Black, 1.63Kg, Thin & Light, Laptop Model NO - Dell 15 DCU5250","48,750",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2MjM0MDY5NzgzNjUzMzczOjE3NzUwNzIzMjg6c3BfbXRmOjMwMDkzOTYwMDA0NjQzMjo6MDo6&url=%2FDell-15-Processor-Graphics-Display%2Fdp%2FB0FDWH5WTL%2Fref%3Dsr_1_12_sspa%3Fcrid%3D18G82KVLYJKIC%26dib%3DeyJ2IjoiMSJ9.G3utn5vOpIuP54jcmOlxChQyg_uVeLFS7kcLD7-4RL5tY1BMv4rz1-qBiKz9QND4VPEDrtd_CLGI8PFhkuPp3c7DUiIqlyCYdjioDpblgVCP8Mt3XlZC9lowWvFT96f6FcPbvB8hZRlgtdSZPVvnv9PDF6sMDe_5wKhb0nQXNUiTCke5Whh-6vQYT9yQi7NKhKIeKQtM9nu1hvuQbA7MYkuuKfMcheEyTglObzeQ0fM.LDjsxGyp-wgoUB7cBUEn17pKLDMU3zUW-Bkp7uJ0680%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1775072328%26sprefix%3Dlapto%252Caps%252C455%26sr%3D8-12-spons%26aref%3D4o1IcokFId%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=4o1IcokFId&sp_cr=ZAZ
9,"Dell 15 (Previously Inspiron), 13th Gen Intel Core i5-1334U (16GB RAM, 1TB SSD) FHD, Anti-Glare 15.6""/39.62cm, Windows 11 MSO'24, Silver, 1.62kg, 12 Month McAfee, Thin & Light, Backlit Keyboard Laptop","61,297",https://amazon.in//Dell-Generation-i5-1334U-Processor-Keyboard/dp/B0DSFQZTVW/ref=sr_1_13?crid=18G82KVLYJKIC&dib=eyJ2IjoiMSJ9.G3utn5vOpIuP54jcmOlxChQyg_uVeLFS7kcLD7-4RL5tY1BMv4rz1-qBiKz9QND4VPEDrtd_CLGI8PFhkuPp3c7DUiIqlyCYdjioDpblgVCP8Mt3XlZC9lowWvFT96f6FcPbvB8hZRlgtdSZPVvnv9PDF6sMDe_5wKhb0nQXNUiTCke5Whh-6vQYT9yQi7NKhKIeKQtM9nu1hvuQbA7MYkuuKfMcheEyTglObzeQ0fM.LDjsxGyp-wgoUB7cBUEn17pKLDMU3zUW-Bkp7uJ0680&dib_tag=se&keywords=laptop&qid=1775072328&sprefix=lapto%2Caps%2C455&sr=8-13
10,"ASUS Chromebook CX1405 (2026), Intel N50 Processor, Intel UHD iGPU, 8GB RAM, 128GB SSD, FHD, 14"" (35.5 cm), Chrome OS, Pure Grey, 1.39 Kg, CX1405CTA-S60622, 42WHrs, Thin & Light Laptop","28,990",https://amazon.in//ASUS-Chromebook-CX1405-Processor-CX1405CTA-S60622/dp/B0GN2Y3T6M/ref=sr_1_14?crid=18G82KVLYJKIC&dib=eyJ2IjoiMSJ9.G3utn5vOpIuP54jcmOlxChQyg_uVeLFS7kcLD7-4RL5tY1BMv4rz1-qBiKz9QND4VPEDrtd_CLGI8PFhkuPp3c7DUiIqlyCYdjioDpblgVCP8Mt3XlZC9lowWvFT96f6FcPbvB8hZRlgtdSZPVvnv9PDF6sMDe_5wKhb0nQXNUiTCke5Whh-6vQYT9yQi7NKhKIeKQtM9nu1hvuQbA7MYkuuKfMcheEyTglObzeQ0fM.LDjsxGyp-wgoUB7cBUEn17pKLDMU3zUW-Bkp7uJ0680&dib_tag=se&keywords=laptop&qid=1775072328&sprefix=lapto%2Caps%2C455&sr=8-14
